title,link,snippet,full_text,outcome,case_number,date,judges
Delhi High Court: State of Delhi vs Reserve Bank of India,https://indiankanoon.org/doc/943461,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 5141/2015

State of Delhi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Reserve Bank of Indi...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 5141/2015

State of Delhi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Reserve Bank of India .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE GUPTA

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 16.4.2014.

2. The petitioner contends that the doctrine of legitimate expectation applies in the present case.

3. The petitioner has placed reliance on Section 34 of the Arbitration and Conciliation Act, Article 19(1)(g) of the Constitution and Article 21 of the Constitution.

4. On the other hand, the respondent has submitted that due process was followed in accordance with the statutory provisions.

ANALYSIS AND FINDINGS

5. The question that arises for consideration is whether the impugned order suffers from any infirmity warranting interference by this Court.

6. The principle of Article 19(1)(g) of the Constitution is well-established and has been consistently followed by this Court.

7. The respondent has failed to consider relevant materials and has taken into account extraneous considerations while passing the impugned order.

CONCLUSION

8. For the reasons stated above, this Court is of the view that the petition deserves to be allowed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 16-04-2015
JUSTICE GUPTA
",Allowed,CRL.M.C. 5141/2015,16-04-2015,JUSTICE GUPTA
ARB.P. 7270/2021: State Bank of India vs State of Delhi,https://indiankanoon.org/doc/642919,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ ARB.P. 7270/2021

State Bank of India .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

State of Delhi .....","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ ARB.P. 7270/2021

State Bank of India .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

State of Delhi .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KAPOOR

JUDGMENT

1. This petition has been filed under Section 34 of the Arbitration and Conciliation Act challenging the award dated 25.3.2020.

2. The petitioner contends that the impugned order is passed without jurisdiction.

3. The petitioner has placed reliance on  and Principles of natural justice.

4. On the other hand, the respondent has denied any violation of statutory provisions or principles of natural justice.

ANALYSIS AND FINDINGS

5. This Court has examined the record and considered the arguments advanced by the learned counsel for the parties.

6. The law regarding Principles of natural justice has been well-settled by the Supreme Court in numerous decisions.

7. In the present case, the Court finds that the impugned order suffers from patent illegality and arbitrariness.

CONCLUSION

8. Consequently, the petition is allowed in terms of the above observations.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 25-03-2021
JUSTICE KAPOOR
",Allowed,ARB.P. 7270/2021,25-03-2021,JUSTICE KAPOOR
ABC Pvt Ltd vs State & Ors on 02-11-2021,https://indiankanoon.org/doc/830589,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CM 1713/2021

ABC Pvt Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Ministry of Finance .... Resp...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CM 1713/2021

ABC Pvt Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Ministry of Finance .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE SINGH

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 2.11.2020.

2. The petitioner contends that the respondent failed to consider relevant factors before passing the impugned order.

3. The petitioner has placed reliance on Ultra vires, Principles of natural justice and Doctrine of legitimate expectation.

4. On the other hand, the respondent has denied any violation of statutory provisions or principles of natural justice.

ANALYSIS AND FINDINGS

5. After careful consideration of the submissions made by both parties, this Court finds that there is merit in the contentions raised by the petitioner.

6. The principle of Ultra vires is well-established and has been consistently followed by this Court.

7. Upon examination of the material on record, this Court finds that the respondent has acted within its jurisdiction and in accordance with law.

CONCLUSION

8. In the result, the petition is settled with the directions mentioned above.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 02-11-2021
JUSTICE SINGH
",Settled,CM 1713/2021,02-11-2021,JUSTICE SINGH
State Bank of India vs BSES Yamuna Power Ltd on 13-11-2018,https://indiankanoon.org/doc/461997,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ FAO 1569/2018

State Bank of India .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

BSES Yamuna Power Lt...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ FAO 1569/2018

State Bank of India .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

BSES Yamuna Power Ltd .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KUMAR

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 13.11.2017.

2. The petitioner contends that the respondent failed to consider relevant factors before passing the impugned order.

3. The petitioner has placed reliance on  and Section 482 of the Code of Criminal Procedure.

4. On the other hand, the respondent has argued that the petitioner has suppressed material facts.

ANALYSIS AND FINDINGS

5. This Court has examined the record and considered the arguments advanced by the learned counsel for the parties.

6. The principle of Section 482 of the Code of Criminal Procedure is well-established and has been consistently followed by this Court.

7. In the present case, the Court finds that the impugned order suffers from patent illegality and arbitrariness.

CONCLUSION

8. In light of the above findings, the petition is partly allowed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 13-11-2018
JUSTICE KUMAR
",Partly Allowed,FAO 1569/2018,13-11-2018,JUSTICE KUMAR
Delhi Metro Rail Corporation vs XYZ Corporation on 20-08-2023,https://indiankanoon.org/doc/426604,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CM 1159/2023

Delhi Metro Rail Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

XYZ Corporat...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CM 1159/2023

Delhi Metro Rail Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

XYZ Corporation .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE BHAT

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 20.8.2022.

2. The petitioner contends that the impugned action violates the petitioner's fundamental rights under Part III of the Constitution.

3. The petitioner has placed reliance on Principles of natural justice and Doctrine of estoppel.

4. On the other hand, the respondent has denied any violation of statutory provisions or principles of natural justice.

ANALYSIS AND FINDINGS

5. After careful consideration of the submissions made by both parties, this Court finds that there is merit in the contentions raised by the petitioner.

6. As per the settled legal position, Doctrine of estoppel cannot be circumvented by executive action.

7. The respondent has failed to consider relevant materials and has taken into account extraneous considerations while passing the impugned order.

CONCLUSION

8. In light of the above findings, the petition is dismissed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 20-08-2023
JUSTICE BHAT
",Dismissed,CM 1159/2023,20-08-2023,JUSTICE BHAT
Sharma Trading Co. vs Delhi Development Authority on 26-12-2015,https://indiankanoon.org/doc/802338,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CS 5599/2015

Sharma Trading Co. .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Development Auth...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CS 5599/2015

Sharma Trading Co. .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Development Authority .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KAPOOR

JUDGMENT

1. The plaintiff has filed this suit seeking damages for breach of contract dated 26.12.2013.

2. The petitioner contends that the respondent failed to consider relevant factors before passing the impugned order.

3. The petitioner has placed reliance on Article 21 of the Constitution and Section 34 of the Arbitration and Conciliation Act.

4. On the other hand, the respondent has denied any violation of statutory provisions or principles of natural justice.

ANALYSIS AND FINDINGS

5. After careful consideration of the submissions made by both parties, this Court finds that there is merit in the contentions raised by the petitioner.

6. As per the settled legal position, Section 34 of the Arbitration and Conciliation Act cannot be circumvented by executive action.

7. Upon examination of the material on record, this Court finds that the respondent has acted within its jurisdiction and in accordance with law.

CONCLUSION

8. For the reasons stated above, this Court is of the view that the petition deserves to be settled.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 26-12-2015
JUSTICE KAPOOR
",Settled,CS 5599/2015,26-12-2015,JUSTICE KAPOOR
ABC Pvt Ltd vs XYZ Corporation on 05-06-2016,https://indiankanoon.org/doc/891438,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.A. 4077/2016

ABC Pvt Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

XYZ Corporation .... Resp...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.A. 4077/2016

ABC Pvt Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

XYZ Corporation .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE SHARMA

JUDGMENT

1. The petitioner has filed this CRL.A. seeking quashing of the order dated 5.6.2015 passed by the XYZ Corporation.

2. The petitioner contends that there is a patent error apparent on the face of the record.

3. The petitioner has placed reliance on  and Section 34 of the Arbitration and Conciliation Act.

4. On the other hand, the respondent has contested the claims of the petitioner as being devoid of merit.

ANALYSIS AND FINDINGS

5. The question that arises for consideration is whether the impugned order suffers from any infirmity warranting interference by this Court.

6. The principle of Section 34 of the Arbitration and Conciliation Act is well-established and has been consistently followed by this Court.

7. This Court is of the considered view that the impugned action/order cannot withstand judicial scrutiny and is liable to be set aside.

CONCLUSION

8. In light of the above findings, the petition is allowed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 05-06-2016
JUSTICE SHARMA
",Allowed,CRL.A. 4077/2016,05-06-2016,JUSTICE SHARMA
Reliance Energy Ltd vs State & Ors on 27-01-2017,https://indiankanoon.org/doc/713817,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 5252/2017

Reliance Energy Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Indian Railways...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 5252/2017

Reliance Energy Ltd .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Indian Railways .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE MALHOTRA

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 27.1.2016.

2. The petitioner contends that the impugned order is arbitrary and violative of Article 14 of the Constitution.

3. The petitioner has placed reliance on  and Doctrine of legitimate expectation.

4. On the other hand, the respondent has argued that the petition is not maintainable on grounds of limitation and alternative remedy.

ANALYSIS AND FINDINGS

5. The question that arises for consideration is whether the impugned order suffers from any infirmity warranting interference by this Court.

6. As per the settled legal position, Doctrine of legitimate expectation cannot be circumvented by executive action.

7. The respondent has failed to consider relevant materials and has taken into account extraneous considerations while passing the impugned order.

CONCLUSION

8. In the result, the petition is partly allowed with the directions mentioned above.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 27-01-2017
JUSTICE MALHOTRA
",Partly Allowed,CRL.M.C. 5252/2017,27-01-2017,JUSTICE MALHOTRA
RSA 6217/2018: Mrs. Gita Devi vs Delhi Development Authority,https://indiankanoon.org/doc/333520,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ RSA 6217/2018

Mrs. Gita Devi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Development Authori...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ RSA 6217/2018

Mrs. Gita Devi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Development Authority .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE SHARMA

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 9.9.2017.

2. The petitioner contends that the doctrine of legitimate expectation applies in the present case.

3. The petitioner has placed reliance on Article 21 of the Constitution and Order VII Rule 11 of the Civil Procedure Code.

4. On the other hand, the respondent has submitted that due process was followed in accordance with the statutory provisions.

ANALYSIS AND FINDINGS

5. This Court has carefully considered the rival submissions made by the learned counsel appearing for the parties.

6. The Supreme Court in a catena of judgments has held that Article 21 of the Constitution forms the bedrock of administrative decision-making.

7. This Court is of the considered view that the impugned action/order cannot withstand judicial scrutiny and is liable to be set aside.

CONCLUSION

8. In the result, the petition is disposed with the directions mentioned above.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 09-09-2018
JUSTICE SHARMA
",Disposed,RSA 6217/2018,09-09-2018,JUSTICE SHARMA
In the matter of Bharat Industries vs Income Tax Department on 02-12-2016,https://indiankanoon.org/doc/205402,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ LPA 3637/2016

Bharat Industries .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Income Tax Department ...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ LPA 3637/2016

Bharat Industries .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Income Tax Department .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KUMAR

JUDGMENT

1. The petitioner has filed this LPA seeking quashing of the order dated 2.12.2015 passed by the Income Tax Department.

2. The petitioner contends that there is no infirmity in the order passed by the respondent.

3. The petitioner has placed reliance on Section 482 of the Code of Criminal Procedure, Right to fair hearing and Ultra vires.

4. On the other hand, the respondent has contested the claims of the petitioner as being devoid of merit.

ANALYSIS AND FINDINGS

5. This Court has examined the record and considered the arguments advanced by the learned counsel for the parties.

6. It is a settled position of law that Section 482 of the Code of Criminal Procedure must be adhered to by all authorities when making decisions affecting rights of citizens.

7. Upon examination of the material on record, this Court finds that the respondent has acted within its jurisdiction and in accordance with law.

CONCLUSION

8. In view of the foregoing discussion, the petition is hereby allowed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 02-12-2016
JUSTICE KUMAR
",Allowed,LPA 3637/2016,02-12-2016,JUSTICE KUMAR
Ramesh Kumar vs Union Of India & Ors on 25-09-2018,https://indiankanoon.org/doc/593796,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ ARB.P. 9164/2018

Ramesh Kumar .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Reserve Bank of India .....","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ ARB.P. 9164/2018

Ramesh Kumar .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Reserve Bank of India .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KHANNA

JUDGMENT

1. The present petition has been filed under Section 11 of the Arbitration and Conciliation Act seeking appointment of an arbitrator.

2. The petitioner contends that there is no infirmity in the order passed by the respondent.

3. The petitioner has placed reliance on Doctrine of proportionality, Doctrine of estoppel and Order VII Rule 11 of the Civil Procedure Code.

4. On the other hand, the respondent has contested the claims of the petitioner as being devoid of merit.

ANALYSIS AND FINDINGS

5. The core issue that needs to be addressed is whether the respondent has acted in accordance with the principles of natural justice.

6. It is a settled position of law that Doctrine of proportionality must be adhered to by all authorities when making decisions affecting rights of citizens.

7. The respondent has failed to consider relevant materials and has taken into account extraneous considerations while passing the impugned order.

CONCLUSION

8. In the result, the petition is partly allowed with the directions mentioned above.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 25-09-2018
JUSTICE KHANNA
",Partly Allowed,ARB.P. 9164/2018,25-09-2018,JUSTICE KHANNA
Delhi High Court: State of Delhi vs Enforcement Directorate,https://indiankanoon.org/doc/959739,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ W.P.(C) 3644/2017

State of Delhi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Enforcement Directora...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ W.P.(C) 3644/2017

State of Delhi .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Enforcement Directorate .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KUMAR

JUDGMENT

1. The present W.P.(C) has been filed challenging the order dated 27.7.2016 passed by the Enforcement Directorate.

2. The petitioner contends that the doctrine of legitimate expectation applies in the present case.

3. The petitioner has placed reliance on  and Order VII Rule 11 of the Civil Procedure Code.

4. On the other hand, the respondent has contended that the decision was taken after considering all relevant factors.

ANALYSIS AND FINDINGS

5. After careful consideration of the submissions made by both parties, this Court finds that there is merit in the contentions raised by the petitioner.

6. The Supreme Court in a catena of judgments has held that Order VII Rule 11 of the Civil Procedure Code forms the bedrock of administrative decision-making.

7. This Court is of the considered view that the impugned action/order cannot withstand judicial scrutiny and is liable to be set aside.

CONCLUSION

8. In the result, the petition is allowed with the directions mentioned above.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 27-07-2017
JUSTICE KUMAR
",Allowed,W.P.(C) 3644/2017,27-07-2017,JUSTICE KUMAR
Delhi Transport Corporation vs Union Of India & Ors on 14-08-2015,https://indiankanoon.org/doc/438431,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 2578/2015

Delhi Transport Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

State o...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.M.C. 2578/2015

Delhi Transport Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

State of Delhi .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE KAPOOR

JUDGMENT

1. The instant petition has been filed by the petitioner seeking judicial review of the order dated 14.8.2014.

2. The petitioner contends that the respondent failed to consider relevant factors before passing the impugned order.

3. The petitioner has placed reliance on  and Article 19(1)(g) of the Constitution.

4. On the other hand, the respondent has denied any violation of statutory provisions or principles of natural justice.

ANALYSIS AND FINDINGS

5. This Court has carefully considered the rival submissions made by the learned counsel appearing for the parties.

6. As per the settled legal position, Article 19(1)(g) of the Constitution cannot be circumvented by executive action.

7. Upon examination of the material on record, this Court finds that the respondent has acted within its jurisdiction and in accordance with law.

CONCLUSION

8. For the reasons stated above, this Court is of the view that the petition deserves to be dismissed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 14-08-2015
JUSTICE KAPOOR
",Dismissed,CRL.M.C. 2578/2015,14-08-2015,JUSTICE KAPOOR
Delhi High Court: Delhi Transport Corporation vs Delhi Jal Board,https://indiankanoon.org/doc/171611,"
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.A. 7855/2019

Delhi Transport Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Jal...","
IN THE HIGH COURT OF DELHI AT NEW DELHI

+ CRL.A. 7855/2019

Delhi Transport Corporation .... Petitioner/Plaintiff
Through: Mr. Advocate1, Sr. Advocate with Mr. Advocate3, Advocate

versus

Delhi Jal Board .... Respondent/Defendant
Through: Ms. Advocate2, Advocate with Ms. Advocate4, Advocate

CORAM:
JUSTICE SHARMA

JUDGMENT

1. The present CRL.A. has been filed challenging the order dated 15.5.2018 passed by the Delhi Jal Board.

2. The petitioner contends that the respondent failed to consider relevant factors before passing the impugned order.

3. The petitioner has placed reliance on Article 14 of the Constitution and Right to fair hearing.

4. On the other hand, the respondent has contested the claims of the petitioner as being devoid of merit.

ANALYSIS AND FINDINGS

5. This Court has examined the record and considered the arguments advanced by the learned counsel for the parties.

6. The principle of Article 14 of the Constitution is well-established and has been consistently followed by this Court.

7. While the action of the respondent is not entirely without basis, certain aspects need reconsideration in light of the legal principles discussed above.

CONCLUSION

8. For the reasons stated above, this Court is of the view that the petition deserves to be allowed.

9. Pending applications, if any, also stand disposed of.

10. No order as to costs.

DATED: 15-05-2019
JUSTICE SHARMA
",Allowed,CRL.A. 7855/2019,15-05-2019,JUSTICE SHARMA
